SIDM00499,Sanger
SIDM00980,Sanger
SIDM00982,Sanger
SIDM00803,Sanger
SIDM00998,Sanger
SIDM00799,Sanger
SIDM00797,Sanger
SIDM00796,Sanger
SIDM00210,Sanger
SIDM01211,Sanger
SIDM01212,Sanger
SIDM00795,Sanger
SIDM00903,Sanger
SIDM00850,Sanger
SIDM00492,Sanger
SIDM00900,Sanger
SIDM00899,Sanger
SIDM00898,Sanger
SIDM00172,Sanger
SIDM01229,Sanger
SIDM00490,Sanger
SIDM00986,Sanger
SIDM00077,Sanger
SIDM00485,Sanger
SIDM00501,Sanger
SIDM00132,Sanger
SIDM01233,Sanger
SIDM00489,Sanger
SIDM00937,Sanger
SIDM00942,Sanger
SIDM00933,Sanger
SIDM00930,Sanger
SIDM00918,Sanger
SIDM00934,Sanger
SIDM00212,Sanger
SIDM00910,Sanger
SIDM00944,Sanger
SIDM00826,Sanger
SIDM00842,Sanger
SIDM00957,Sanger
SIDM00956,Sanger
SIDM00142,Sanger
SIDM00954,Sanger
SIDM00512,Sanger
SIDM00209,Sanger
SIDM00208,Sanger
SIDM00207,Sanger
SIDM00950,Sanger
SIDM00867,Sanger
SIDM00831,Sanger
SIDM00049,Sanger
SIDM00947,Sanger
SIDM00540,Sanger
SIDM00969,Sanger
SIDM00120,Sanger
SIDM00486,Sanger
SIDM00278,Sanger
SIDM01052,Sanger
SIDM01051,Sanger
SIDM01050,Sanger
SIDM01044,Sanger
SIDM00861,Sanger
SIDM00264,Sanger
SIDM00263,Sanger
SIDM00261,Sanger
SIDM00539,Sanger
SIDM00538,Sanger
SIDM01043,Sanger
SIDM01042,Sanger
SIDM00205,Sanger
SIDM00198,Sanger
SIDM00196,Sanger
SIDM00201,Sanger
SIDM00860,Sanger
SIDM01041,Sanger
SIDM01055,Sanger
SIDM00581,Sanger
SIDM00273,Sanger
SIDM00537,Sanger
SIDM00598,Sanger
SIDM01072,Sanger
SIDM01068,Sanger
SIDM00866,Sanger
SIDM00885,Sanger
SIDM00884,Sanger
SIDM00875,Sanger
SIDM00874,Sanger
SIDM00872,Sanger
SIDM00118,Sanger
SIDM00675,Sanger
SIDM00673,Sanger
SIDM00052,Sanger
SIDM00783,Sanger
SIDM00789,Sanger
SIDM00596,Sanger
SIDM00968,Sanger
SIDM00290,Sanger
SIDM00591,Sanger
SIDM00133,Sanger
SIDM00669,Sanger
SIDM00135,Sanger
SIDM00666,Sanger
SIDM00589,Sanger
SIDM00045,Sanger
SIDM00588,Sanger
SIDM00136,Sanger
SIDM00541,Sanger
SIDM00409,Sanger
SIDM00533,Sanger
SIDM00531,Sanger
SIDM00151,Sanger
SIDM00632,Sanger
SIDM00602,Sanger
SIDM00225,Sanger
SIDM00305,Sanger
SIDM00303,Sanger
SIDM00128,Sanger
SIDM00127,Sanger
SIDM00690,Sanger
SIDM01037,Sanger
SIDM00687,Sanger
SIDM00612,Sanger
SIDM00686,Sanger
SIDM00150,Sanger
SIDM00608,Sanger
SIDM00607,Sanger
SIDM00606,Sanger
SIDM00604,Sanger
SIDM00583,Sanger
SIDM00571,Sanger
SIDM00301,Sanger
SIDM00556,Sanger
SIDM00157,Sanger
SIDM00554,Sanger
SIDM00530,Sanger
SIDM01032,Sanger
SIDM01031,Sanger
SIDM00551,Sanger
SIDM01029,Sanger
SIDM01028,Sanger
SIDM01027,Sanger
SIDM01026,Sanger
SIDM01025,Sanger
SIDM01024,Sanger
SIDM00312,Sanger
SIDM00187,Sanger
SIDM00182,Sanger
SIDM00300,Sanger
SIDM00344,Sanger
SIDM00548,Sanger
