gene,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
FAM120A,98.63383,3.82589,-1.31302,2.13219,1.26659,-0.16252,1.32762,1.02446,0.75195,-0.22426
FAM120AOS,45.49562,2.90034,-3.8086,-0.26349,1.08054,-2.59699,-0.84333,0.8937,-0.10446,-1.25913
FAM120B,45.39549,-3.02518,-2.59132,0.61342,2.58811,2.85396,1.47964,0.4004,0.70389,-0.36101
FAM120C,11.47464,-7.7558,-0.09232,2.13543,2.6797,2.20096,-0.10123,5.25647,-3.11133,-0.91082
FAM122A,18.72718,-1.51967,-5.94885,3.16931,0.60581,2.50078,1.42907,1.85506,0.14058,0.46061
FAM122B,62.3376,-1.25988,-4.55995,2.7978,-0.41561,-1.36412,2.30292,-1.32112,-0.66581,-0.48719
FAM122C,-16.36338,-0.05673,-5.56744,4.085,3.53777,3.94312,1.97565,-1.5308,-0.46812,-1.07375
FAM124A,-74.67965,-31.13041,-1.0251,-16.81563,-1.14413,-0.45405,-12.14288,-0.20232,3.09864,-2.4448
FAM126A,49.66684,-12.10942,11.96684,16.13904,8.25962,0.56032,-6.43021,1.33111,7.74914,4.62361
FAM126B,36.40192,-0.72414,-7.28896,0.82872,1.05028,3.74785,0.13815,1.82611,-1.68763,0.09141
FAM127A,31.05473,-16.03036,31.14208,-7.15918,2.95038,-7.53657,-5.10607,5.70907,-3.73874,-1.19829
FAM127B,28.31147,-4.70366,22.94263,-10.75097,-0.3472,-5.62722,-4.13106,3.1367,-0.52555,-2.42893
FAM127C,-36.09708,-22.74306,38.63501,-9.40326,2.27049,-18.16956,-1.9892,4.1743,-15.06484,-5.26192
FAM129A,34.57092,-4.03911,19.89316,18.5538,11.27879,8.97214,-10.59068,4.30288,7.79455,11.12649
FAM129B,89.67303,13.92794,28.46203,-7.2534,-10.34042,2.01121,1.6955,2.34067,-0.91122,-1.96451
FAM129C,-61.53661,-4.78944,-17.16718,6.58839,6.7736,10.67347,-2.13213,2.05545,-3.19637,-3.58397
FAM131A,14.2295,-1.56127,3.97631,-6.37695,3.27159,2.05988,-0.44572,-2.64806,-0.38272,-4.13187
FAM131B,-71.96888,-6.1495,4.03442,-17.62608,-11.36773,14.45191,11.38921,-4.03409,-5.82691,4.67357
FAM131C,-64.34716,10.04464,17.90416,-20.23831,0.43559,10.75434,-4.96409,-6.04506,0.54445,-6.02932
FAM133A,-119.92188,-23.40185,16.27961,9.02655,-14.31255,-15.42492,2.11758,11.73639,1.40192,-9.89516
FAM133B,45.33182,-2.17209,-5.16938,1.4462,-0.59031,-0.53559,1.40528,0.27587,0.85791,0.31053
FAM134A,66.50928,-2.49304,-2.49952,1.5397,-1.84141,-0.55766,-0.13042,1.32147,-1.00163,-1.09569
FAM134B,-24.36794,7.23961,6.04134,-9.27371,5.31137,1.98392,-3.38459,9.89723,6.0236,2.70536
FAM134C,51.63186,0.38908,-4.55823,-0.48192,2.16328,0.98238,1.54851,-0.2739,-0.64028,1.12049
FAM135A,24.795,1.18626,-6.32923,-2.22929,0.74492,4.97937,0.12827,-7.91963,5.73521,4.61976
FAM136A,63.94129,-0.46798,-6.63048,0.13512,-3.68165,-5.1545,-2.84998,-1.87023,2.14277,0.00459
FAM13A,14.4002,-1.07885,6.98747,-9.53586,-4.57405,-0.67548,6.23993,1.63109,4.10378,4.73229
FAM13B,46.48113,-5.07885,-2.13631,2.95148,0.85007,-0.93653,0.16752,-0.15302,-1.99793,0.33934
FAM13C,-120.17592,-38.39094,10.86651,-19.1458,-6.67973,8.4149,12.34092,10.51953,5.94098,3.63098
FAM149A,-76.80185,-6.10903,1.97694,-12.51956,-12.20746,-1.35794,-12.52278,-9.40298,14.1818,11.37678
FAM149B1,33.64664,0.27104,-4.02351,1.86548,-0.75648,-1.86461,0.85552,-0.55197,-1.30454,-0.13284
FAM151B,-58.9212,-1.16752,2.02302,-2.27836,-4.89826,5.12196,-7.75278,5.03678,-2.46347,-3.33947
FAM155A,-92.96845,-32.06605,13.79031,-9.63951,-24.56106,-3.64597,7.70354,-18.89308,-4.71823,0.07292
FAM155B,-85.66184,-4.47925,-12.65668,-40.78795,-2.75788,-14.96263,-20.70561,-9.16723,11.90382,-3.07809
FAM156A,-52.06829,-6.99897,-5.23447,1.94742,-3.49007,2.45773,-2.38124,1.36875,-1.66036,-2.83307
FAM160A1,-29.02189,31.32299,22.78788,-17.93025,-0.22978,0.19529,5.75602,5.0265,-2.07341,-5.46413
FAM160A2,36.04464,2.95677,-5.1077,1.6696,-1.97793,3.87751,1.21286,0.08834,0.80523,0.59869
FAM160B1,38.87808,-2.349,0.03115,0.71162,0.80503,3.21397,-0.46721,2.61836,-1.88158,-1.10012
FAM160B2,45.83321,-2.40447,-0.12464,-0.30102,1.52787,4.1291,-0.00604,0.61161,-0.40714,-0.48518
FAM161A,6.57709,-9.37369,-3.23443,-4.85871,0.25666,1.06205,-2.55415,-4.55378,2.94597,-0.48135
FAM161B,-16.42019,-1.53827,0.91999,1.82069,0.94836,1.73841,-1.561,2.09406,-3.91989,-4.08726
FAM162A,46.42394,1.75668,-7.51578,2.90953,-1.78485,-3.76367,0.01035,0.97422,4.33036,0.96583
FAM163A,-158.40413,-24.98725,-11.20627,-17.247,-1.83334,-8.33042,15.99344,-14.77365,-4.78106,-9.04742
FAM163B,-181.10882,-22.9745,-16.71203,-16.92732,2.64775,-0.92527,14.97065,-11.84674,-6.23568,-3.89304
FAM167A,-33.02435,-13.07939,3.99693,9.27736,4.80661,-0.9415,9.97537,-20.16277,-8.68982,-12.15719
FAM167B,-81.47143,5.08617,9.46671,3.95063,0.25484,10.77737,1.23956,7.62085,0.4782,-11.3987
FAM168A,66.62033,-7.6538,-0.01405,-2.05081,2.41784,0.98828,0.19242,1.09798,-2.07296,0.3159
FAM168B,92.70378,-4.59733,-2.59546,-2.09886,-1.0916,-1.19643,0.48703,-0.51813,0.90815,1.64703
FAM169A,1.7015,7.84261,10.90222,-17.70161,4.10418,7.29642,-3.95538,-11.80789,3.24416,-1.09172
FAM171A1,13.37966,-19.50395,25.12278,-11.13536,-11.30956,6.69426,-2.27554,-24.5253,5.83306,7.53406
FAM171A2,-20.37764,-23.88161,5.1205,-17.11604,5.86283,10.00221,-10.62809,-2.9743,-5.74099,-0.31815
FAM171B,7.86594,-9.83587,10.63894,-14.49314,0.00706,0.11585,-2.814,-1.02868,2.73971,-0.81762
FAM172A,27.70573,-7.60341,-2.1072,-0.73457,-1.24584,4.2295,1.40076,1.42396,-0.00082,-1.77944
FAM173A,2.08488,1.00514,-3.05147,-2.76209,-1.94885,6.29709,-0.29185,0.25858,-1.83428,-5.53747
FAM173B,18.96513,-0.1908,-2.34622,2.05075,-1.40331,-4.1965,-0.23055,1.03533,-0.6668,-1.77713
FAM174A,1.81125,2.08313,3.91578,1.41049,-1.03288,-2.7139,2.10373,2.20622,-1.28826,-5.47763
FAM174B,-22.52313,7.18351,-8.8886,-14.2946,-4.84237,-10.51732,-1.88155,9.93732,-7.29244,-2.10351
FAM175A,9.65154,-7.1426,-8.40464,1.66696,-1.33612,7.04058,-2.42356,-3.57291,0.49358,0.41692
FAM175B,37.24104,0.04907,-3.8535,1.85705,0.46481,-0.10563,-0.53157,-1.74991,-0.05164,-0.84432
FAM177A1,49.73535,4.36787,2.76,-2.6775,-2.88854,-3.76488,-1.08427,1.99391,-0.22683,-4.02205
FAM178B,-113.4859,7.06265,-4.16916,-8.88855,1.51393,3.08191,1.36781,16.3128,1.72938,-11.21163
FAM180A,-158.62172,-7.56382,19.75817,23.49387,-7.7088,2.50607,8.17573,11.8306,-2.58126,-9.35326
FAM181B,-135.41246,-5.3711,12.31045,-24.41027,38.42501,4.52293,4.63745,-6.6148,7.84724,10.1869
FAM182B,-86.19914,-0.81355,6.7505,-8.98455,5.19392,6.30984,-3.27507,5.87307,-2.31415,-8.8947
FAM184A,-53.90997,-21.07453,-2.97015,-19.74647,1.06142,-7.73542,-1.03227,-0.18002,0.17615,0.7696
FAM184B,-88.33852,-7.07073,-10.25997,-1.80697,-0.53104,-4.31927,-0.06156,5.28855,4.59472,2.69218
FAM185A,-10.12427,0.90441,-5.02903,-0.24883,-0.63858,-0.55057,1.1529,0.64506,1.25393,-3.20953
FAM186B,-69.72446,-1.49985,-9.33724,3.5019,-0.11761,-5.20002,-1.30899,-1.40026,3.73465,-2.95094
FAM189A1,-113.74198,-10.09984,3.62423,-8.3987,-16.96483,0.50958,-16.27576,-6.57463,-1.13921,1.96078
FAM189A2,-97.78351,16.96093,16.17635,-7.82813,-2.64941,-11.05871,-10.59996,8.11966,5.5797,-7.24794
FAM189B,49.86982,-4.59599,-3.46062,-4.10128,1.26825,3.37012,-0.96381,-0.05567,0.51493,-3.30212
FAM192A,68.91077,-1.45083,-3.82114,1.6098,1.92494,-1.82464,1.97014,-1.38716,-1.01807,-0.80761
FAM193A,42.83256,-6.02146,-5.96013,-0.05194,0.44684,0.563,-0.37412,0.42734,-0.97976,0.72785
FAM193B,44.68368,-2.12072,-7.08992,-0.59018,3.08013,4.89215,1.68878,0.1519,-2.2996,1.64203
FAM196B,-102.63015,-31.32517,37.3456,25.95336,-1.15656,5.76534,8.18919,-16.95129,-10.28748,-0.03582
FAM198A,-132.81461,-5.22182,-1.08808,-12.82389,0.20237,-14.56817,-1.85529,3.13138,-17.96943,2.9933
FAM198B,-23.27435,5.39181,23.84018,-6.73572,-6.31568,4.17018,9.0856,15.91336,6.75121,2.3401
FAM199X,67.55334,1.51724,-1.35914,0.00733,-0.73598,-0.10309,-0.33293,-0.07017,-0.22986,-1.11656
FAM19A2,-72.84215,-9.07885,-11.07846,0.38289,1.55841,2.59935,-1.17752,1.7747,6.16856,0.36969
FAM19A5,-142.54856,-36.01467,-8.65951,-28.35464,-0.353,-5.52602,-6.02409,-2.43641,8.67533,2.08433
FAM200A,4.01616,-3.95195,-0.1005,0.58549,1.94282,0.95191,1.11783,0.1842,2.40705,-0.80066
FAM200B,23.72089,-4.24005,1.66092,0.28505,-2.16565,0.73211,0.17734,-1.33633,0.76693,-1.91037
FAM204A,41.85039,-0.22809,-4.85723,1.78254,0.35459,-0.61299,0.04667,-1.66279,1.00961,-0.20747
FAM206A,30.16902,4.73441,-3.33571,0.46612,1.54251,1.7253,0.93402,0.49592,2.41792,-0.61911
FAM207A,22.39385,-2.85887,-4.44362,0.00286,-0.29085,2.2551,-3.82405,-0.85531,-0.13566,-1.41888
FAM208A,71.4372,-0.98536,-4.04836,5.22681,0.73816,0.04106,-1.16605,0.72113,-0.12267,-0.32486
FAM208B,80.80024,-2.48375,-3.87843,-1.69238,0.67753,-1.29427,-0.21148,-1.57212,-0.09632,-1.23078
FAM20A,-107.70987,-1.25615,5.13507,11.91752,-6.47172,-25.2339,-1.24964,7.15519,3.27576,0.81326
FAM20B,72.93023,-3.51983,-1.11366,-2.24046,1.52893,-1.56288,1.63169,2.67677,-0.07554,-0.63239
FAM20C,10.00289,-14.41859,45.91841,-0.36713,7.16844,8.74887,-3.74728,1.34165,-10.51335,-6.1459
FAM210A,33.05846,-1.62728,-2.31367,5.31656,0.40953,-0.91874,-1.30957,0.22882,3.55487,-4.24331
FAM210B,41.63555,1.61645,9.27004,-8.61737,-3.04802,3.29102,3.06411,8.09385,0.1945,-6.571
FAM212A,-75.24539,-11.64839,1.76258,13.85906,21.40198,8.35429,4.73681,-3.06754,5.04213,-4.1245
FAM212B,-10.5745,-7.48675,-5.65219,-3.00584,4.8717,5.00836,7.33166,10.67257,0.96962,-5.42614
FAM213A,41.62406,5.75385,-0.24636,-18.68711,1.2944,-5.89582,2.24618,-3.1924,2.51469,4.03653
FAM213B,32.4811,2.84949,1.26081,-5.03058,-8.31756,3.01814,1.6166,1.81722,-0.14418,-0.27996
FAM214A,28.24194,2.72377,-10.58172,0.77796,5.24703,0.06325,5.06059,6.68354,-4.38695,0.88493
FAM214B,17.7327,-1.73007,8.54372,6.99981,-2.81026,4.71112,1.00396,3.67987,-3.54698,-3.29364
FAM216A,19.09721,-11.97325,-7.33895,6.04988,-1.18372,-2.66588,-2.26879,-8.58661,1.943,-5.03155
FAM217B,39.72176,-1.07768,-6.10116,-2.0246,2.778,-2.8751,-1.50539,0.42763,0.80274,-1.83758
FAM219A,34.06355,-8.727,4.95739,-2.33903,0.1111,1.00759,5.12501,2.35332,-2.90197,-4.14981
FAM219B,29.08224,-2.74658,-4.59591,-5.11119,1.25543,13.05675,0.09119,1.01906,-1.80191,-0.31322
FAM220A,29.90086,-0.31458,-0.61235,1.51633,3.84523,1.67167,0.01817,1.35386,-1.17677,-1.98227
FAM221A,-22.25464,-1.31342,-10.09279,-3.26653,-7.33637,3.22773,2.81424,-6.46531,-8.66841,3.26444
FAM222A,-26.05217,-8.94394,-8.52469,-19.95832,-4.78924,-3.88482,1.91526,0.85241,-1.15174,-10.11819
FAM222B,30.47389,1.59285,-2.8453,-3.58928,-0.78331,1.49632,-1.22392,0.38031,0.7102,-1.51152
FAM227A,-17.71536,-2.74588,-2.17487,-10.92471,1.22555,6.13607,-1.02283,0.56797,-5.40718,-1.69057
FAM227B,-38.90689,-4.1742,-7.49306,0.22186,-0.76548,1.87834,-1.097,1.79596,0.23239,-3.48411
FAM228B,-11.96714,-6.59066,-2.95102,1.10862,3.01069,4.26068,-1.57552,0.45434,-2.65634,-0.66409
FAM229A,-20.47057,-5.12205,-6.85634,-1.88008,2.11377,17.70502,-2.1425,3.48305,-2.44136,-3.98759
FAM229B,-25.00692,-15.95886,7.45251,-0.05042,-0.03963,-1.28426,-1.48418,-0.7076,-0.07503,-1.46405
FAM234A,40.92276,0.14302,2.39038,-1.29517,-2.00427,2.53854,2.10581,4.11704,-1.8724,0.6894
FAM234B,15.82275,-4.67287,-3.3676,-3.59903,3.86646,-0.62963,-1.45724,0.75017,0.48053,-3.24107
FAM24B,-41.69247,2.85993,-4.67236,7.31469,0.87898,-2.98815,-2.26382,-6.2853,0.30303,1.435
FAM26E,-105.99552,-27.18221,33.40412,13.06166,-4.32611,2.36492,7.03283,-5.08456,-4.7411,0.46989
FAM26F,-122.09642,-6.83726,8.50176,20.42478,15.42493,-5.17754,-0.37505,-5.2872,-9.28873,-2.03437
FAM32A,62.57176,-2.92747,-2.90557,2.17637,-0.49595,-3.79057,1.3518,-0.01493,0.13383,-0.05557
FAM35A,44.25694,-2.13357,-5.60891,-0.55066,-2.22293,-0.60633,-1.41332,-2.08139,0.68493,-2.11455
FAM3A,40.0247,1.56764,-0.01274,1.83218,-0.05384,0.66827,-0.23454,4.02307,-1.56376,-1.71134
FAM3B,-143.25192,16.17567,-11.2489,0.07076,-14.1642,-5.6743,2.43789,18.24706,-1.47822,-3.65505
FAM3C,74.84117,6.78633,3.68705,4.6624,-1.56749,-1.09159,4.69369,-0.43491,3.3921,0.88478
FAM3D,-156.41485,23.75695,-14.51577,-1.3589,-8.24454,8.94406,8.7037,0.94103,4.2112,-1.69553
FAM43A,-19.63022,0.27667,-6.12678,-2.17074,8.48151,12.39187,0.83336,0.45781,7.63815,-1.34817
FAM43B,-140.1509,-27.48095,13.9463,-10.72536,1.39329,5.82884,-15.28351,-4.54898,-10.56727,0.72996
FAM45A,37.9297,1.3071,-3.06507,2.08544,-0.79552,1.72093,-3.55169,-0.43824,-0.51327,0.14504
FAM46A,16.37542,3.98897,16.90091,-3.50643,-6.55382,4.90787,4.38608,14.66609,2.76776,5.25881
FAM46B,-41.9969,14.56286,24.77196,-4.16625,1.03296,-0.89183,-7.35086,8.0131,-13.8029,-14.00348
FAM46C,-43.36489,3.88638,-11.60654,11.34063,3.96872,1.19629,2.96882,20.58026,-5.82129,2.87927
FAM47E,-54.85252,7.47173,-4.77485,-8.61064,-7.44287,5.31165,2.79585,5.09831,-0.70805,-2.56953
FAM49A,-52.71994,-11.86953,-2.21438,-0.37983,18.66792,3.25044,-1.34876,6.3095,-14.33964,20.31101
FAM49B,74.4288,0.77319,-6.00675,0.92638,4.27555,-3.72631,-0.0875,-1.70936,-0.23798,1.67053
FAM50A,64.0905,-3.01071,1.15858,1.60556,-4.33397,-1.60677,-0.55898,2.91647,-2.43163,-0.25367
FAM50B,-53.73739,7.90512,17.38785,-6.66406,11.01994,-10.99662,-3.88915,-2.66909,0.89419,3.5345
FAM53A,-54.91074,-1.02402,-3.92404,-7.41229,-1.60271,7.85952,-11.34421,-4.09496,-2.05762,-5.21645
FAM53B,37.17672,-0.45161,-9.69289,-1.55985,2.84893,4.16411,3.23315,2.01328,1.41956,-1.81284
FAM53C,61.6779,-5.22763,-5.032,0.02238,1.96741,0.55552,-0.98704,0.11705,-0.33545,0.16065
FAM57A,33.51515,1.54126,6.60544,0.42112,-1.1258,1.3451,-0.44731,-6.08099,4.76697,-1.47327
FAM57B,-71.15463,-22.76131,-14.30803,-14.44274,4.10237,6.67542,3.91225,-5.39119,-11.53297,-6.10036
FAM58A,21.22034,2.66397,-0.57863,2.15549,0.40259,-1.15759,-1.66982,-0.16155,-0.8303,-2.50188
FAM60A,74.50424,0.93625,-12.17891,-5.49881,1.35401,0.2783,1.39204,-8.23134,2.85694,3.35443
FAM64A,25.22421,-4.10748,17.77759,-12.10371,-7.46681,-5.38876,-2.03375,-1.65829,-0.06943,-4.69786
FAM65A,59.30089,-2.5731,8.55396,0.24694,-1.47049,2.94681,-0.50134,-3.65401,-2.62074,-3.74152
FAM65B,-85.44924,-15.28673,-12.78212,16.93216,8.85434,-0.93566,0.66717,15.50707,-2.84327,11.49916
FAM65C,-62.59942,-1.57262,8.04208,-4.64655,2.36324,5.46267,0.86567,6.66276,-13.1138,0.48817
FAM69A,10.98588,-3.26919,4.43715,6.08677,3.1434,-0.91761,3.83462,0.65401,2.93982,-3.47464
FAM69B,-19.41283,-18.28486,-7.76077,-21.50251,1.26742,-11.30505,-13.96226,-0.59181,2.42046,8.59371
FAM71E1,-78.14079,19.13996,-4.09923,-9.16261,3.01033,7.60115,-2.87534,1.38799,-0.75817,-0.54184
FAM71F2,-54.57306,-0.60829,0.31224,4.00682,0.84785,5.70244,1.41743,3.87711,-2.23558,-0.9635
FAM72A,-16.568,-2.36884,-7.54478,6.27707,2.24112,-3.40329,-1.61371,-2.33216,0.55107,-3.14493
FAM72B,-6.47213,-7.126,-4.30376,9.04798,6.04862,-8.50699,-2.74707,-4.74654,-0.17292,-2.98938
FAM72C,-52.27091,-6.73595,-5.26271,9.3349,8.50607,-8.44395,-2.90089,-6.26267,0.64515,-3.3806
FAM72D,-31.62926,-2.01967,-9.85038,7.03299,1.25498,-6.17281,-2.07057,-4.53143,0.74523,-2.39536
FAM76A,2.18521,-1.02538,-4.51737,1.33352,1.18057,4.6086,0.06526,3.05368,-1.3411,-1.87025
FAM76B,33.60888,-1.7495,-9.04717,1.93336,1.67927,0.71616,2.14761,-2.65997,-1.17821,-0.12988
FAM78A,-40.50745,-15.16299,-24.6295,9.43691,10.63752,6.39916,-11.219,5.66683,-4.07477,-9.71175
FAM78B,-91.12654,-27.07758,-3.23445,-6.7487,-10.84157,9.86077,11.70307,4.369,18.16703,-11.5127
FAM81A,-21.8644,21.40151,-1.53804,11.8524,-8.12326,-0.90042,-7.65762,-1.7258,10.31114,-9.71007
FAM83A,-57.40232,62.38263,17.32167,4.86653,22.46099,-16.46545,1.92762,-11.8389,-12.58546,-3.81778
FAM83B,-70.39695,67.98442,8.89667,-19.3017,20.07632,-4.17265,4.50316,-3.83709,8.0281,9.05914
FAM83D,57.65272,1.92287,4.52562,-1.5981,0.33822,-8.75076,-2.12389,-2.56193,0.49,-3.18445
FAM83E,-80.17836,37.8154,-15.2632,-14.57485,0.09087,12.83933,9.37687,1.82837,2.66084,1.501
FAM83F,-57.57145,56.38377,-9.58287,-22.91503,14.11085,6.05914,13.80321,7.93575,0.80238,-3.74758
FAM83G,34.05759,21.63602,4.73094,2.57728,2.79142,4.45752,-6.65818,-1.18755,3.88508,-0.15725
FAM83H,37.92774,55.99531,-2.45371,-17.96749,6.19504,-4.98554,-19.07082,-2.61791,8.32942,4.03676
FAM84A,-57.83291,31.51433,4.16356,-33.43432,9.02557,-1.74191,28.7052,7.77908,7.2984,2.65013
FAM84B,47.96759,31.24216,7.64677,-20.24762,-1.12707,1.59806,-3.25583,12.70024,6.09498,12.2295
FAM86B1,-21.45772,1.44172,-3.0462,-3.67663,-2.76624,4.35014,-3.26132,-4.02002,4.22602,-6.04727
FAM86C1,1.07487,2.89446,-2.95139,-0.14138,0.46488,-0.87011,-1.15582,-1.98207,2.09267,-4.37477
FAM89A,-12.56128,-1.29361,-5.0237,-2.98465,1.53491,6.49666,-4.26277,-6.06144,14.8129,-1.46329
FAM89B,2.83264,-3.20036,0.31628,-0.73864,2.36174,4.85005,1.22767,1.58471,-3.36478,-2.53331
FAM8A1,38.94491,-3.55017,-5.15336,-6.56016,-1.044,4.81371,-0.31252,4.70008,-2.26474,-0.60291
FAM91A1,79.31879,2.1525,-1.58242,1.22753,1.43669,-1.26676,0.54358,2.23791,2.44226,-0.76145
FAM92A,25.61936,-12.7026,7.84613,1.65545,5.05157,-1.28563,-2.91747,-6.61461,3.88857,1.06433
FAM96A,52.11433,0.2944,-5.82009,3.01325,-1.54042,-3.12312,0.34622,0.4403,2.16748,-0.4408
FAM96B,49.99673,-1.85838,-1.40813,2.61684,-0.7762,-2.24966,0.60426,-2.27094,1.20812,-2.57684
FAM98A,59.16974,-3.84871,-0.98003,2.71155,-2.30244,-4.38209,-0.12573,1.37452,2.04072,-1.92731
FAM98B,55.79908,-3.33945,-3.66358,0.31067,-0.09973,-2.13077,1.68176,-1.42383,1.19899,-0.50958
FAM98C,10.10433,3.05254,-6.22815,-0.36102,-0.77654,2.89745,-1.80713,1.74113,-1.28362,-3.13297
FAM9C,-117.79301,-1.70834,-6.2926,3.60616,-2.64884,2.2843,-3.77577,3.16891,-3.06845,-8.47033
FAN1,39.25565,-2.7616,-2.89162,-3.62256,1.84155,6.15502,1.54804,0.78059,-0.10054,0.54402
FANCA,52.97336,-4.95578,-6.35285,0.81162,-0.64633,-3.95136,-1.72345,-2.75892,0.58548,-0.3824
FANCB,-2.77601,-6.16346,-3.39496,4.7162,-1.58904,-3.09886,-0.38371,-1.64468,2.55285,-2.90282
FANCC,32.22176,-2.68336,-3.06094,-2.53437,1.66839,-1.44192,-1.11907,0.06039,0.14118,-1.27011
FANCD2,58.48889,-3.29133,-6.89808,2.65054,0.32853,-7.98044,-1.41374,-1.48497,0.10561,-0.08217
FANCE,17.93718,-2.35882,-6.24954,1.2211,6.59699,0.30129,-0.43446,-0.46331,2.15399,-2.45084
FANCF,16.80144,-1.43069,-9.00698,-0.12613,-0.01531,1.29612,7.00048,1.93071,1.53601,1.2901
FANCG,47.51943,-2.09532,-3.8005,2.48043,1.925,-5.89442,-0.24606,-1.58316,-0.97504,-1.22428
FANCI,82.39246,-2.50464,-5.99869,0.50987,0.10629,-7.24126,0.51873,-0.47628,1.24155,0.45658
FANCL,34.79384,-0.84873,-4.16753,-0.9427,-0.33258,-2.43766,1.18364,-1.99824,2.26754,-0.40407
FANCM,21.13676,-1.76893,-4.86213,1.12184,2.42213,-3.92574,-0.50701,-0.70198,0.21782,-1.90839
FANK1,-58.03167,26.57743,17.61215,0.84411,-1.37822,3.08249,-3.07404,3.85594,-5.33344,-4.44908
FAP,-88.56561,-12.67401,40.29104,25.19233,1.26233,11.03616,3.60674,16.10168,6.17446,-0.8365
FAR1,75.01518,0.34055,-3.46675,2.25643,5.07222,2.05538,2.85713,-2.49191,1.17432,-0.42774
FAR2,-14.28124,-3.30761,-2.28739,1.27739,-14.85683,-3.9067,9.94615,5.00268,4.83278,7.60827
FARP1,49.4202,-9.63043,11.22488,-17.3984,-8.73623,0.73903,-1.8728,2.80941,-2.28806,3.19872
FARP2,53.62849,-2.52165,-3.14973,-1.23859,-2.86152,1.82317,0.03957,1.20606,4.73052,-1.81906
FARS2,9.91831,-1.66109,-3.4116,3.6332,-0.27122,-2.12857,0.31777,0.62205,-0.31235,-2.21827
FARSA,69.80019,-4.21565,-5.18161,1.57713,0.81923,-4.97838,-0.12277,-0.4704,2.1357,-2.11096
FARSB,69.65574,-3.83125,-4.85749,0.87684,-1.12572,-3.28505,1.2989,-0.37066,2.79637,-0.39255
FAS,1.94724,4.87485,9.01944,17.3509,0.76851,6.50416,-5.04424,-10.38547,3.90738,5.66496
FASN,120.40198,-2.54122,-5.03987,-8.29275,2.3174,-1.58095,1.77696,3.89674,-0.25209,-1.08928
FASTK,57.99245,-1.58407,-1.54355,2.30812,-1.68888,-0.95752,0.14178,3.6483,0.26905,0.77854
FASTKD1,37.67587,-2.83191,-8.62363,0.9807,1.11836,1.84971,0.71443,-1.86485,3.52631,0.71199
FASTKD2,50.48775,-0.58713,-3.17184,0.92945,-1.34164,-1.85821,0.89311,-0.82834,2.82801,-0.88931
FASTKD3,21.25399,1.50796,-4.58912,2.56142,1.30909,-1.71092,-0.15297,-0.70021,0.30491,-2.42905
FASTKD5,37.68924,-0.28704,-4.93932,0.73282,-0.22144,-2.58568,0.54052,-0.60892,1.88325,-1.71949
FAT1,91.21321,14.28102,24.75482,-11.00436,-18.39452,2.77135,0.66995,2.08867,6.55324,-1.57969
FAT2,-47.26086,28.13804,21.2078,5.55808,43.63062,-10.34834,11.70388,-0.965,11.82909,2.99656
FAT3,-67.13046,-18.90123,15.57947,-13.63601,6.72944,5.86957,2.04904,5.3036,-4.89243,18.64043
FAT4,-18.60627,-35.56365,37.60439,-2.83594,9.33524,-0.22684,-7.55402,-8.34688,2.4677,11.21778
FAU,99.73203,-0.25512,-5.55892,3.64158,1.10207,-6.37171,2.1139,-2.73044,1.19437,0.44684
FAXC,-19.7297,-9.48142,11.32584,-16.39246,5.16363,-1.22863,2.99481,4.55843,2.60215,-8.2177
FAXDC2,-33.46681,-4.85382,1.65113,-0.20474,-5.36597,-1.99138,11.33857,2.16552,-1.39209,4.54221
FBF1,-9.4315,-0.96724,-1.44428,1.20095,3.62681,1.91081,-3.99368,2.8553,-0.71695,-2.40275
FBL,88.63627,-4.15162,-8.61557,0.07831,-0.42957,-6.73867,-1.97276,-4.71449,1.54559,1.31425
FBLIM1,29.56269,10.04085,24.57909,-6.71997,0.2023,7.82481,5.51614,-5.81025,-4.99926,8.93076
FBLL1,-115.3798,-23.48156,-0.38914,-17.75397,-1.3689,-1.00374,3.51512,-5.92495,-1.72668,-8.44444
FBLN1,22.07939,-6.65078,32.96344,-25.88383,22.05253,-7.92568,-6.71782,-2.18591,-12.21509,8.37795
FBLN2,-59.48823,1.2469,23.19734,-13.07233,15.91719,-9.68273,-10.30789,-0.56384,-18.94278,-1.75351
FBLN5,-72.53446,-3.70321,15.19643,-0.20528,-1.1205,-2.74973,-15.30437,10.23379,-1.78106,10.9102
FBLN7,-70.76852,-15.10205,17.90975,-0.92605,-8.2516,8.83367,2.69101,2.32351,-10.39568,2.5229
FBN1,19.85309,-32.22643,34.09077,12.71892,-5.1866,-1.89172,1.96938,2.11214,-10.33616,7.05761
FBN2,-33.23623,-13.13421,39.55838,1.89207,22.5658,-12.99225,4.94185,-0.13387,18.69686,9.38545
FBN3,-125.25883,6.4126,-12.10781,-27.0676,7.37175,-1.68522,-25.53677,7.64043,-2.63927,16.41564
FBP1,-95.69575,33.08922,-19.33226,-11.53045,-12.09027,-11.05912,24.34285,-0.39867,-24.7415,1.88355
FBRS,65.49958,-1.22922,-4.86682,-0.58687,2.77244,4.18605,0.64961,1.90103,-2.49677,-0.2483
FBRSL1,58.78555,-0.65413,-7.76186,-7.83408,1.56715,4.64152,0.82791,-2.06586,0.09151,0.45019
FBXL12,24.68046,-2.31817,-3.7036,3.49409,2.36549,0.80628,1.3482,-0.5132,-0.84558,-0.92869
