,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIDM00954,5.24833,32.00188,80.7354,14.68285,69.41628,-37.77766,7.88691,64.12384,-9.48209,-49.57807
SIDM00512,-82.82659,12.65492,-14.7913,-9.65033,-26.51183,-2.78232,18.34265,-34.72313,-10.61463,20.83063
SIDM00511,96.07798,15.58846,143.23028,-56.18043,-72.33426,27.24906,18.72588,-19.24412,14.91769,-23.73682
SIDM00923,-101.77072,-26.98927,-62.6878,-4.11766,131.31785,-39.77313,50.95647,-16.46376,3.29449,7.76293
SIDM00489,-103.74353,3.23404,-2.44,-28.72523,129.03042,40.96095,15.01082,-7.53725,25.437,-12.34924
SIDM00921,21.45481,-3.99362,-7.07315,39.62845,-37.84396,19.17294,17.15899,-25.8046,17.28337,31.50555
SIDM00919,-23.99082,-66.68414,37.75419,-45.32228,-47.29074,-24.4927,-31.513,-19.89637,-14.71185,-11.51072
SIDM00918,-11.91549,-34.40653,87.4395,-55.7766,-66.78303,10.95166,-52.06279,5.40563,-22.38895,-38.34856
SIDM00924,-40.00441,-5.26805,72.27942,-38.07796,0.22537,-50.85046,-19.11778,28.48398,-1.71729,19.84336
SIDM00209,69.41543,-86.1027,-37.64637,-8.95488,-19.93912,52.94583,-29.56569,16.88979,-27.07206,-5.53694
SIDM00208,83.77648,-69.17336,-16.97382,47.58402,52.98098,59.8684,-17.697,38.21198,-65.07751,-50.67339
SIDM00207,116.72887,-105.01483,-33.10109,29.43254,16.57395,69.24145,-13.6859,64.17135,-43.9759,-20.82649
SIDM00950,-80.68097,-27.66991,-2.22996,-35.69639,-25.25456,12.74603,7.9,-47.75684,14.76761,11.26581
SIDM00886,80.75795,243.16655,-87.84782,-69.11953,-0.79014,-25.05925,43.18305,-8.47697,-12.30832,-44.08375
SIDM00867,71.13704,-94.89163,-37.90795,7.69304,-49.07078,31.6895,2.21602,25.78532,-5.7108,-28.55278
SIDM00949,27.86828,90.56357,-98.07015,-35.81977,-18.28157,20.52358,-4.75381,-9.6149,18.39781,1.04414
SIDM00947,119.60407,-97.31712,-62.29376,15.69747,-32.41172,53.4426,12.32215,49.58115,-12.21703,0.92686
SIDM00540,-113.54079,-70.04204,-32.64491,-67.86192,87.02951,31.36497,42.62328,0.41908,-1.19977,21.64062
SIDM00969,17.4756,-72.87408,-40.20743,57.58184,59.62001,-10.26524,-28.91427,-53.12688,-52.57459,-84.46556
SIDM00120,-37.3846,-26.16928,-7.26417,49.57159,58.04322,-72.46955,-32.78235,-56.84686,-35.44906,-15.63174
SIDM00887,82.58018,-78.78131,-12.63809,-30.28759,-52.9764,13.58722,-9.28497,-2.47063,12.9193,2.71501
SIDM00486,-72.52449,3.23564,-32.24387,5.71146,-21.53498,-27.03464,39.57786,-15.62752,-0.90978,-11.22855
SIDM00278,-72.26991,-55.01856,40.395,-75.9462,-4.99593,21.92541,-19.96184,-26.31817,37.3987,2.4309
SIDM01056,-52.01338,52.18876,70.3604,-14.46707,-14.93842,-46.40845,16.65422,84.91204,-86.13504,50.80984
SIDM01052,-10.7467,-35.97407,13.68009,-11.97938,-46.48776,-0.82594,-63.73357,-41.2951,-28.04834,-31.28285
SIDM01051,-31.68231,-40.46598,8.88873,8.43596,-1.33651,-36.15968,-30.56357,-31.50978,-21.00455,23.21576
SIDM01050,-164.71051,7.26547,-3.11978,37.18315,20.77978,79.57011,-6.00509,-14.43584,-49.21258,-29.86022
SIDM01048,50.30426,128.85152,-42.89917,-91.41697,-70.33261,22.74997,-17.8113,25.68383,9.57362,-66.27594
SIDM00119,-36.42592,-63.18331,23.05771,-12.05707,-51.96414,-36.01844,-24.3841,-5.36581,-24.48631,5.97135
SIDM01044,-71.95835,-62.81666,-4.9866,-57.86374,17.41652,-22.86248,8.26457,-39.13321,-11.0959,40.67898
SIDM00861,76.38815,-44.25176,-105.52525,30.10867,-20.34114,-18.94864,49.44864,-16.17836,49.47711,-6.31024
SIDM00264,118.776,8.48722,41.96685,35.01228,94.38822,33.09585,-96.26629,21.06361,-4.53609,19.71713
SIDM00263,122.66838,15.15673,101.54772,-27.77664,40.05081,55.42112,-102.6991,15.28013,-5.76944,16.73361
